,Compound_Score,Negative_Score,Neutral_Score,Positive_Score,Screen_Name,Time,Tweets,Tweets_Ago
102,0.6467,0.0,0.72,0.28,CBS,2018-04-09 01:42:06+00:00,It's time to celebrate! @MomCBS will be back for Season 6! https://t.co/ianxp6JWHq,3
103,0.7345,0.0,0.85,0.15,CBS,2018-04-08 22:00:01+00:00,@OldDominion's Matthew Ramsey is here with a friendly reminder - Country Music’s Party Of The Year® is just seven days away! Tune in to the 53rd #ACMawards on April 15 at 8/7c on CBS and CBS All Access. https://t.co/GNkjCGBTXJ,4
104,0.5562,0.0,0.86,0.14,CBS,2018-04-08 18:38:13+00:00,It all comes down to this! Stream Round 4 of #TheMasters Tournament on CBS live with a free trial of CBS All Access: https://t.co/dZhmtYXelS https://t.co/4px5IVYa0O,5
105,0.4199,0.0,0.92,0.08,CBS,2018-04-08 15:00:00+00:00,"@reba is ready for her hosting duties! In just one week, watch her take the stage at the 53rd #ACMawards. Tune in April 15 at 8/7c on CBS and CBS All Access. https://t.co/VpuZ2TKDjI",6
106,0.8313,0.0,0.799,0.201,CBS,2018-04-07 19:35:08+00:00,Watch some of the biggest names in golf compete in one of the greatest tournaments of the year! Stream #TheMasters Tournament on CBS live with a free trial of CBS All Access: https://t.co/dZhmtYXelS https://t.co/X056P9QZLm,7
107,0.0,0.0,1.0,0.0,CBS,2018-04-07 18:28:03+00:00,Tonight's the night! Here's a behind-the-scenes look at season 2 of @RansomCBS before the big premiere. Tune in at 8/7c on CBS and CBS All Access! https://t.co/nFXSqL1n7T,8
108,0.4199,0.0,0.924,0.076,CBS,2018-04-07 16:30:02+00:00,"What song will @DierksBentley belt out when he takes the stage to perform at the 53rd #ACMawards? Get ready to sing along on Sunday, April 15 at 8/7c on CBS and CBS All Access! https://t.co/E8L60s0vPu",9
109,0.4389,0.0,0.928,0.072,CBS,2018-04-07 15:31:12+00:00,"@johnlegend, @mirandalambert, @KeshaRose, and more perform @eltonofficial's hit songs! Watch Elton John: I'm Still Standing—A GRAMMY® Salute on Tuesday, Apr. 10 at 9/8c on CBS and CBS All Access. See a preview of the stunning performances: https://t.co/cjYYdvNCoE #EltonSalute https://t.co/CRzZou4ITd",10
110,0.0,0.0,1.0,0.0,CBS,2018-04-06 21:10:18+00:00,Ask 53rd ACM Awards® host @reba a question and she just may answer it on April 11 at 5:30p ET/2:30p PT when she takes to Facebook Live! Write in your questions below. https://t.co/gGFkY5KIxU,11
111,0.0,0.0,1.0,0.0,CBS,2018-04-06 17:00:00+00:00,"What’s @eltonofficial's birth name and which of his songs holds the record for biggest selling single of all time? Test your knowledge in this quiz. Watch Elton John: I'm Still Standing - A GRAMMY® Salute on Tuesday, April 10 at 9/8c on CBS and CBS All Access. #EltonSalute https://t.co/fUk6GJCYl3",12
112,0.3164,0.0,0.959,0.041,CBS,2018-04-06 13:45:00+00:00,"Do you have a question for country music legend and host of the 53rd ACM Awards® @reba? Write it below for a chance to have it answered during her Facebook Live chat on April 11 at 5:30p ET/2:30p PT. Watch the 53rd #ACMawards on Sunday, April 15 at 8/7c on CBS and CBS All Access! https://t.co/SbZJX242Px",13
